RecordType,PlanId,EmployeeName,EmployeeSSN,EffectiveDate,EndAllDeferrals,ContributionCode,DeferralPercent,DeferralAmt,PlanEntryDate,LoanNumber,LoanPaymentAmount,LoanGoal
D,QK63283-00039,TEST PARTICIPANT1,111111111,10022025,,401K,4.00,,,,,
D,QK63283-00039,TEST PARTICIPANT1,111111111,10022025,,4ROTH,0.00,,,,,
D,QK63283-00039,TEST PARTICIPANT1,111111111,10022025,,4ROTH,,20.00,,,,
D,QK63283-00039,TEST PARTICIPANT2,222222222,10022025,,401K,0.00,,,,,
D,QK63283-00039,TEST PARTICIPANT3,333333333,10022025,,4ROTH,5.00,,,,,
D,QK63283-00039,TEST PARTICIPANT4,444444444,10022025,,401K,,0.00,,,,
D,QK63283-00039,TEST PARTICIPANT4,444444444,10022025,,401K,10.00,,,,,
L,QK63283-00039,TEST PARTICIPANT5,555555555,10102025,,401L,,,,20250307923HFT,00000000040.17,00000000763.28
L,QK63283-00039,TEST PARTICIPANT6,666666666,10102025,,401L,,,,20250405923RMG,00000000000.00,00000000000.00

